"","hgnc_symbol"
"319","ALAD"
"320","BLVRB"
"321","BACH1"
"322","MAF"
"323","CP"
"324","UROS"
"325","MCOLN1"
"326","STEAP3"
"327","ALB"
"328","SLC6A15"
"329","ATP6V1B1"
"330","ATP6V1E2"
"331","ATP6V1B2"
"332","ATP6V1A"
"333","ATP6V1C1"
"334","ATP6V1H"
"335","ATP6V1E1"
"336","ATP6V1G1"
"337","ATP6V1D"
"338","ATP6V1C2"
"339","ATP6V1G2"
"340","ATP6V0E1"
"341","ATP6V0A2"
"342","ATP6V0D1"
"343","ATP6V0A1"
"344","ATP6V0B"
"345","ATP6V0D2"
"346","ATP6V0C"
"347","ATP6V0E2"
"348","TCIRG1"
"349","ATP6AP1"
"350","ALG11"
"351","SIGMAR1"
"352","NUP210"
"353","IDE"
"354","ATP13A3"
"355","TOMM5"
"356","TOMM7"
"357","TOMM20"
"358","TOMM40"
"359","DNAJC11"
"360","TIMM10B"
"361","MAPK14"
"362","MAP2K7"
"363","TANK"
"364","IKBKE"
"365","CASP8"
"366","TRADD"
"367","RIPK1"
"368","MAPK8"
"369","MAPK9"
"370","EIF2AK2"
"371","IRF7"
"372","FOS"
"373","JUN"
"374","DDX58"
"375","RNF135"
"376","IRAK4"
"377","MAP2K4"
"378","MAP2K6"
"379","TRAF5"
"380","ITCH"
"381","IRAK1"
"382","TRIM25"
"383","FADD"
"384","MAP2K3"
"385","MAVS"
"386","TRAF2"
"387","UBE2N"
"388","CASP10"
"389","IFIH1"
"390","XBP1"
"391","MAP1LC3A"
"392","ATG5"
"393","SQSTM1"
"394","BCL2L11"
"395","DDIT3"
"396","TRIB3"
"397","BID"
"398","EIF2AK4"
"399","EIF2S1"
"400","ERN1"
"401","BCAP31"
"402","ATF6"
"403","PACS2"
"404","BCL2L1"
"405","BCL2"
"406","HSPA5"
"407","ERO1A"
"408","MFN2"
"409","BAX"
"410","ITPR1"
"411","ITPR3"
"412","ITPR2"
"413","EIF2AK3"
"414","BBC3"
"415","BAK1"
"416","RYR1"
"417","TMBIM6"
"418","VAPB"
"419","EIF2S3"
"420","MAP3K5"
"421","FIS1"
"422","CEACAMP4"
"423","MICU1"
"424","SMDT1"
"425","MCU"
"426","MICU2"
"427","MCUB"
"428","RMDN3"
"429","EIF2S2"
"430","MAP3K4"
"431","TRM-CAT3-1"
"432","CASP9"
"433","CSAP9"
"434","TRIM13"
"435","HYOU1"
"436","PPP1R15A"
"437","ATF4"
"438","DNAJC3"
"439","CAPN1"
"440","CASP3"
"441","EIF2AK1"
"442","PPP2CA"
"443","JUN"
"444","FOSB"
"445","FOS"
"446","JUNB"
"447","FOSL1"
"448","FOSL2"
"449","JUND"
"450","ITPR3"
"451","VDAC1"
"452","HSPA9"
"453","CASP9"
"454","CDK5"
"455","CASP4"
"456","ADAM17"
"457","MBTPS2"
"458","MBTPS1"
"459","EIF2B3"
"460","EIF2B4"
"461","EIF2B1"
"462","EIF2B2"
"463","EIF2B5"
"464","FASLG"
"465","FAS"
"466","TNF"
"467","BAD"
"468","CYCS"
"469","AKT1"
"470","APAF1"
"471","CASP7"
"472","MCL1"
"473","RPS6KB1"
"474","RHOA"
"475","CUL2"
"476","ELOC"
"477","ELOB"
"478","PPP2R1A"
"479","SMAD3"
"480","SMAD2"
"481","ACVR1"
"482","TGFBR2"
"483","TGFBR1"
"484","SMAD9"
"485","SMAD5"
"486","SMAD1"
"487","MAPK3"
"488","BMPR2"
"489","ACTR2"
"490","BAMBI"
"491","ACVR1B"
"492","LTBP1"
"493","IFNA1"
"494","OAS2"
"495","TREML4"
"496","IFNAR2"
"497","IFNAR1"
"498","STING1"
"499","OAS3"
"500","OAS1"
"501","SRP72"
"502","ACSL3"
"503","DLL1"
"504","AP2M1"
"505","RAB7A"
"506","RALA"
"507","SEPSECS"
"508","MAT2B"
"509","PEG10"
"510","UBQLN4"
"511","EDN1"
"512","MIB1"
"513","NARS2"
"514","CYB5R3"
"515","SIRT5"
"516","MAT1A"
"517","BCKDK"
"518","MAT2A"
"519","EDNRA"
"520","SCARB1"
"521","CA12"
"522","AP2A2"
"523","COMT"
"524","NEMF"
"525","LARP4B"
"526","SPART"
"527","FOCAD"
"528","PCSK1"
"529","AIFM1"
"530","GFER"
"531","IMPDH2"
"532","SRP54"
"533","EIF4H"
"534","BAG6"
"535","NUP54"
"536","MPHOSPH10"
"537","COPS8"
"538","AATF"
"539","EXOSC5"
"540","GTF2B"
"541","DCAF7"
"542","COPS5"
"543","CCDC86"
"544","COPS2"
"545","COPS4"
"546","COPS6"
"547","COPS7A"
"548","TAT"
"549","GTF2F2"
"550","RBM41"
"551","SRP19"
"552","EXOSC3"
"553","ZNF318"
"554","NOL10"
"555","SBNO1"
"556","NEK6"
"557","ZC3H7A"
"558","ZNF503"
"559","POLR2B"
"560","NEK9"
"561","NEK7"
"562","NUP214"
"563","POLR2G"
"564","POLR2A"
"565","POLR2E"
"566","NUP62"
"567","NUP58"
"568","EXOSC2"
"569","TCF12"
"570","NUP88"
"571","ZNF250"
"572","LARP7"
"573","ERGIC1"
"574","MEPCE"
"575","MYCBP2"
"576","EXOSC8"
"577","DDX10"
"578","NGDN"
"579","FBN1"
"580","FBLN2"
"581","FBLN5"
"582","PLG"
"583","PLAT"
"584","ELN"
"585","LOXL1"
"586","ZYG11B"
"587","NAE1"
"588","UBA3"
"589","NAE1"
"590","UBA3"
"591","UBA"
"592","ELOC"
"593","ELOB"
"594","CUL2"
"595","ZYG11B"
"596","RBX1"
"597","NEDD8"
"598","UBE2"
"599","NEDD8"
"600","UBE2"
"601","ELOC"
"602","ELOB"
"603","CUL2"
"604","RBX1"
"605","ZYg11B"
"606","UBE2M"
"607","NEDD8"
"608","UBE2M"
"609","ELOC"
"610","ELOB"
"611","CUL2"
"612","ZYG11B"
"613","RBX1"
"614","ELOC"
"615","ELOB"
"616","CUL2"
"617","ZYG11B"
"618","RBX1"
"619","NEDD8"
"620","ELOC"
"621","ELOB"
"622","ZYG11B"
"623","ELOC"
"624","ELOB"
"625","DUB"
"626","ELOC"
"627","ELOB"
"628","CUL2"
"629","RBX1"
"630","ZYg11B"
"631","NEDD8"
"632","NAE1"
"633","UBA3"
"634","NEDD8"
"635","CUL2"
"636","RBX1"
"637","ADA"
"638","HPRT1"
"639","ADSL"
"640","NME5"
"641","ADK"
"642","DCK"
"643","RRM1"
"644","RRM2"
